time,device_id,f_cnt,BatV,Bat_status,Ext_sensor,Hum_SHT,TempC_DS,TempC_SHT,Exti_pin_level,Exti_status,Work_mode
2026-01-05 01:30:00+00:00,raingaugetest1,13.0,3.091,3.0,Temperature Sensor,59.4,-2.37,17.83,Low,False,Interrupt Sensor send
2026-01-05 02:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,92.6,-2.25,-1.65,,False,
2026-01-05 02:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,92.75,-2.0,-1.495,,False,
2026-01-05 03:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,92.9,-1.75,-1.34,,False,
2026-01-05 03:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,94.2,-1.685,-1.275,,False,
2026-01-05 04:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,95.5,-1.62,-1.21,,False,
2026-01-05 04:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,96.1,-1.75,-1.3,,False,
2026-01-05 05:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,96.5,-1.43,-1.11,,False,
2026-01-05 05:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,97.2,-1.0,-0.83,,False,
2026-01-05 06:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,97.4,-0.81,-0.62,,False,
2026-01-05 06:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,98.55000000000001,-0.405,-0.20999999999999996,,False,
2026-01-05 07:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.7,0.0,0.2,,False,
2026-01-05 07:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,98.76666666666667,-0.25,-0.08333333333333337,,False,
2026-01-05 08:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,97.83333333333334,-0.5,-0.36666666666666675,,False,
2026-01-05 08:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,96.9,-0.75,-0.65,,False,
2026-01-05 09:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,98.8,-1.0,-1.0,,False,
2026-01-05 09:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.6,-0.87,-1.1,,False,
2026-01-05 10:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.8,-1.12,-1.31,,False,
2026-01-05 10:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.8,-0.81,-1.19,,False,
2026-01-05 11:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.8,-0.43,-1.01,,False,
2026-01-05 11:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.8,0.31,0.1,,False,
2026-01-05 12:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,99.6,0.5,0.64,,False,
2026-01-05 12:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,98.0,0.62,0.72,,False,
2026-01-05 13:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,95.95,0.9950000000000001,0.73,,False,
2026-01-05 13:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,93.9,1.37,0.74,,False,
2026-01-05 14:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,94.5,0.81,0.38,,False,
2026-01-05 14:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,95.5,0.15500000000000003,-0.03500000000000003,,False,
2026-01-05 15:00:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,96.5,-0.5,-0.45,,False,
2026-01-05 15:30:00+00:00,raingaugetest1,,3.091,3.0,Temperature Sensor,96.3,-1.0,-0.7450000000000001,,False,
